0275166,2,1,1
0275166,2,1,1
2380218,1,1,1
2380218,4,1,1
2380218,7,2,2
2380218,9,1,1
2380218,1,1,1
2380218,9,1,1
2380218,9,1,1
2380218,1,1,1
2380218,1,1,1
0452181,1,1,1
0489603,7,1,1
0489646,7,1,1
0952257,7,1,1
0952257,7,1,1
0952257,7,1,1
0952257,7,1,1
0952257,7,1,1
0952257,7,1,1
2410788,7,5,5
2410788,5,10,10
2410788,7,4,4
2410788,7,9,6
2410788,9,1,1
2410788,7,6,6
2410788,5,1,1
2410788,7,1,1
2410788,7,7,6
2410788,4,1,1
2410788,5,4,4
2410788,2,1,1
2410788,2,2,2
2410788,1,1,1
2410788,9,1,1
2410788,1,1,1
2410788,9,1,1
2410788,1,1,1
2410826,5,2,2
2410834,9,1,1
2410834,4,1,1
2410834,5,1,1
2410834,5,2,2
2410834,5,1,1
2410834,5,1,1
2410834,1,1,1
2410834,9,1,1
2410834,3,1,1
2410834,1,1,1
2410834,5,2,1
2410834,5,1,1
2410834,5,2,2
2410834,5,3,3
2410834,1,1,1
2411547,7,1,1
2411563,7,1,1
2411563,7,2,1
2411563,7,1,1
2411563,7,1,1
2411563,7,1,1
2411563,7,2,1
2411563,7,1,1
2411563,1,1,1
2411563,9,1,1
2411571,7,1,1
2411598,7,1,1
2953137,7,1,1
2953137,7,1,1
2953137,7,1,1
2953137,7,1,1
2953137,7,1,1
2953137,1,1,1
2953137,9,1,1
2953137,7,1,1
2972247,7,1,1
2972247,7,1,1
2972247,7,1,1
2972247,7,1,1
2972247,7,1,1
3142507,6,2,2
3142507,6,2,2
3320391,7,1,1
3320391,7,1,1
4136977,1,1,1
4136977,9,1,1
4148541,7,1,1
4148541,7,1,1
4148541,7,1,1
4148541,7,1,1
4148541,7,1,1
4148541,7,1,1
4824660,6,1,1
6033016,2,1,0
6052770,6,1,1
6052770,6,1,1
6055141,1,1,1
6055141,1,1,1
6179819,1,1,1
6179819,7,1,1
6179819,7,1,1
6179819,7,1,1
6179819,7,1,1
6179819,7,1,1
6179819,9,1,1
